drone_id,application,drone_size,drone_model,manufacturer,propeller_count,max_carry_weight,actual_carry_weight,payload_type,payload_description,altitude,flight_duration,distance_flown,operator_id,flight_date,battery_remaining,gps_accuracy,wind_speed,obstacles_encountered,flight_status,regulatory_approval_id,notes,overweight_flag,weight_ratio,risk_score
D011,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.0,Package,Small documents,60,18.0,5.0,OP011,2025-03-19,95,1.3,2.9,No,Completed,REG-2025-EFG-123,Express document delivery,0,0.5,1.0440369707811568
D012,Bridge Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.5,Camera,High-definition camera,90,38.0,12.0,OP002,2025-03-18,60,2.2,5.8,Yes,Completed,REG-2025-HIJ-456,Routine bridge structure assessment,0,0.5625,1.3041578576462298
D013,Crop Monitoring,Small,Agri Scout,AgriDrones,4,1.5,0.8,Camera,Multispectral camera for plant health analysis,45,22.0,7.0,OP003,2025-03-17,80,1.0,3.3,No,Completed,REG-2025-KLM-789,Assessing crop health in a small farm,0,0.5333333333333333,1.455813953488372
D014,Real Estate Photography,Small,SkyLens,PhotoFly,4,1.2,0.6,Camera,Wide-angle camera for property showcasing,75,25.0,4.0,OP004,2025-03-16,88,1.6,2.5,No,Completed,REG-2025-NOP-012,Taking aerial photos of a residential property,0,0.5,0.9387984496124031
D015,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9.0,5.0,"Camera, Sensor","Corona discharge camera, infrared thermometer",110,55.0,16.0,OP002,2025-03-15,50,2.9,7.1,Yes,Completed,REG-2025-QRS-345,Inspecting high-voltage power lines,0,0.5555555555555556,1.3952151831061215
D016,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6.0,2.8,Camera,Real-time video camera for traffic analysis,85,40.0,10.0,OP005,2025-03-14,72,1.9,4.5,No,Completed,REG-2025-TUV-678,Monitoring traffic flow on a major highway,0,0.4666666666666666,1.1551529987760096
D017,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16.0,9.0,Camera,High-resolution camera for blade damage assessment,160,65.0,20.0,OP002,2025-03-13,45,3.2,8.5,Yes,Completed,REG-2025-WXY-901,Inspecting wind turbine blades,0,0.5625,1.5214147286821706
D018,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11.0,7.5,"Camera, GPS","High-resolution camera, GPS for site mapping",55,30.0,8.0,OP006,2025-03-12,81,1.4,2.8,No,Completed,REG-2025-ZAB-234,Surveying progress on a construction project,0,0.6818181818181818,1.1213399778516058
D019,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,1.0,Camera,Compact camera for capturing event footage,95,32.0,6.0,OP004,2025-03-11,90,1.7,3.9,No,Completed,REG-2025-CDE-567,Recording an outdoor music festival,0,0.5555555555555556,0.9905608755129959
D020,Delivery to Remote Area,Medium,LongHaul 400,DeliveryNow,6,10.0,4.0,Package,Medical supplies,70,50.0,25.0,OP011,2025-03-10,58,2.6,5.1,No,Completed,REG-2025-FGH-890,Delivering supplies to a remote island village,0,0.4,1.1999642218246869
D021,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14.0,7.0,"Camera, Sensor","Infrared camera, gas leak detector",40,58.0,18.0,OP002,2025-03-09,73,2.3,6.8,Yes,Completed,REG-2025-IJK-123,Inspecting oil and gas pipelines,0,0.5,1.2319143916413886
D022,Precision Agriculture,Small,FarmPilot,AgriDrones,4,2.5,1.3,Sensor,Soil moisture and nutrient sensors,35,26.0,9.0,OP003,2025-03-08,82,1.2,3.7,No,Completed,REG-2025-LMN-456,Collecting data for precision farming,0,0.52,1.3001550387596899
D023,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.7,Camera,Low-light camera for observing wildlife,100,45.0,15.0,OP009,2025-03-07,65,1.9,4.1,Yes,Completed,REG-2025-OPQ-789,Monitoring animal populations in a nature reserve,0,0.4666666666666666,1.1941452468380254
D024,Emergency Response,Large,FirstResponder,RescueFly,8,13.0,6.0,"Camera, Speaker","Thermal camera, loudspeaker for communication",130,48.0,11.0,OP007,2025-03-06,52,2.7,5.9,Yes,Completed,REG-2025-RST-012,Assessing damage after a natural disaster,0,0.46153846153846156,1.3077347114556417
D025,Product Photography,Small,StudioShot,PhotoFly,4,1.0,0.4,Camera,High-resolution camera for product showcasing,50,15.0,3.0,OP004,2025-03-05,98,0.8,1.9,No,Completed,REG-2025-UVW-345,Taking aerial product shots for advertising,0,0.4,1.4172868217054264
D026,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,6.0,Package,Fragile electronics,45,22.0,7.0,OP001,2025-03-04,70,2.3,4.0,No,Aborted,REG-2025-XYZ-678,"Overweight package, flight aborted",1,1.2,2.044860128075497
D028,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,25.0,Liquid Tank,Fertilizer solution,25,35.0,12.0,OP003,2025-03-02,35,4.0,8.1,Yes,Landed Unexpectedly,REG-2025-DEF-234,"Empty tank, unexpected landing in field",1,1.25,2.527906976744186
D031,Surveying,Medium,MapMaker Z,GeoSurv,6,10.0,6.8,LiDAR System,Advanced LiDAR system,65,40.0,10.0,OP006,2025-02-27,88,1.3,3.0,No,Completed,REG-2025-MNO-123,,0,0.6799999999999999,1.121788908765653
D032,Search and Rescue,Large,Guardian SR,RescueFly,8,12.0,5.5,"Camera, Beacon","Enhanced thermal camera, strobe light",140,55.0,20.0,OP007,2025-02-26,70,3.0,5.8,Yes,Completed,REG-2025-PQR-456,Night search operation,0,0.4583333333333333,1.0829457364341084
D033,Film Production,Large,CineDrone X,FilmCraft,8,18.0,19.0,Camera,High-end cinema camera with multiple lenses,50,38.0,6.0,OP008,2025-02-25,65,2.1,4.5,No,Aborted,REG-2025-STU-789,"Exceeded max carry weight, aborted takeoff",1,1.0555555555555556,2.1750276854928017
D034,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2.0,1.0,Sensor,Particulate matter sensor,30,30.0,7.0,OP009,2025-02-24,95,1.0,2.5,No,Completed,REG-2025-VWX-012,,0,0.5,1.243798449612403
D035,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3.0,2.0,Scanner,3D barcode scanner,20,25.0,3.0,OP010,2025-02-23,80,0.7,1.2,No,Completed,REG-2025-YZA-345,,0,0.6666666666666666,1.7215946843853822
D036,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.3,Package,Perishable goods,70,20.0,6.0,OP011,2025-02-22,98,1.5,3.1,No,Completed,REG-2025-BCD-678,,0,0.65,0.9269767441860465
D037,Bridge Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.0,Camera,High-zoom camera,85,42.0,14.0,OP002,2025-02-21,55,2.4,6.0,Yes,Completed,REG-2025-EFG-901,,0,0.5,1.331782945736434
D038,Crop Monitoring,Small,Agri Scout,AgriDrones,4,1.5,0.9,Camera,Thermal imaging camera for irrigation assessment,40,24.0,8.0,OP003,2025-02-20,85,1.1,3.5,No,Completed,REG-2025-HIJ-234,,0,0.6,1.3304087385482735
D039,Real Estate Photography,Small,SkyLens,PhotoFly,4,1.2,0.7,Camera,360-degree camera,80,30.0,5.0,OP004,2025-02-19,91,1.8,2.3,No,Completed,REG-2025-KLM-567,,0,0.5833333333333334,0.8238501291989664
D040,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9.0,5.2,"Camera, Sensor","UV camera, acoustic sensor",105,60.0,17.0,OP002,2025-02-18,48,3.0,7.5,Yes,Completed,REG-2025-NOP-890,,0,0.5777777777777778,1.4347286821705427
D041,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,0.9,Package,Books,75,15.0,4.0,OP012,2025-04-01,91,1.6,2.8,No,Completed,REG-2025-IJK-789,,0,0.45,0.9320542635658915
D042,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.2,Camera,Zoom lens camera,105,40.0,13.0,OP002,2025-04-02,63,2.0,5.1,Yes,Completed,REG-2025-LMN-012,,0,0.65,1.2653488372093022
D043,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,16.0,Liquid Tank,Organic fertilizer,35,32.0,11.0,OP003,2025-04-03,48,3.0,7.0,No,Completed,REG-2025-OPQ-345,,0,0.8,1.395968992248062
D044,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.3,Camera,Infrared camera,90,18.0,6.0,OP004,2025-04-04,95,1.0,1.9,No,Completed,REG-2025-RST-678,,0,0.3,1.1972868217054264
D045,Surveillance,Medium,Watcher Pro,SecureTech,4,7.0,4.1,Sensor,Noise detection sensor,110,55.0,10.0,OP005,2025-04-05,58,2.3,4.5,No,Completed,REG-2025-UVW-901,,0,0.5857142857142856,1.2036198179979778
D046,Surveying,Medium,MapMaker Z,GeoSurv,6,10.0,7.3,GPS,High-precision GPS module,60,38.0,8.0,OP006,2025-04-06,79,1.4,3.2,No,Completed,REG-2025-XYZ-234,,0,0.73,1.1723477297895903
D047,Search and Rescue,Large,Guardian SR,RescueFly,8,12.0,4.8,Speaker,Megaphone,145,48.0,17.0,OP007,2025-04-07,65,2.6,5.3,Yes,Completed,REG-2025-ABC-567,,0,0.39999999999999997,1.145468097793679
D048,Film Production,Large,CineDrone X,FilmCraft,8,18.0,11.5,Camera,Stabilized camera rig,55,42.0,9.0,OP008,2025-04-08,72,1.9,4.0,No,Completed,REG-2025-DEF-890,,0,0.6388888888888888,1.1163933088535292
D049,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2.0,0.9,Sensor,Temperature and humidity sensor,38,25.0,5.0,OP009,2025-04-09,89,1.2,2.5,No,Completed,REG-2025-GHI-123,,0,0.45,1.1371317829457364
D050,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3.0,1.8,RFID Reader,Long-range RFID reader,18,28.0,3.0,OP010,2025-04-10,77,0.8,1.3,No,Completed,REG-2025-JKL-456,,0,0.6,1.5807751937984496
D051,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.2,Package,Birthday gift,62,17.0,4.5,OP012,2025-04-11,93,1.5,2.7,No,Completed,REG-2025-MNO-789,,0,0.6,0.945968992248062
D052,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.5,Camera,Neutral density filters,84,20.0,5.5,OP004,2025-04-12,90,1.1,2.1,No,Completed,REG-2025-OPQ-012,,0,0.5,1.1718816067653277
D053,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,16.8,Liquid Tank,Water for testing,33,30.0,9.5,OP003,2025-04-13,46,3.2,7.1,Yes,Completed,REG-2025-RST-345,,0,0.8400000000000001,1.402887596899225
D054,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.8,Package,Office supplies,70,23.0,7.5,OP013,2025-04-14,86,1.9,3.4,No,Completed,REG-2025-UVW-678,,0,0.5599999999999999,0.9298816809465524
D055,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.6,Camera,Polarizing filter,89,22.0,6.2,OP004,2025-04-15,97,1.4,2.4,No,Completed,REG-2025-XYZ-901,,0,0.6,0.9303322259136213
D056,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.3,Camera,Infrared camera for heat detection,102,39.0,12.5,OP002,2025-04-16,61,2.5,5.7,Yes,Completed,REG-2025-ABC-234,,0,0.5375,1.231860465116279
D057,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.2,Liquid Tank,Plant growth hormone,29,34.0,10.5,OP003,2025-04-17,43,3.4,7.6,No,Completed,REG-2025-DEF-567,,0,0.86,1.453264933880529
D058,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.1,Package,Small appliances,65,21.0,6.8,OP013,2025-04-18,89,1.7,3.1,No,Completed,REG-2025-GHI-890,,0,0.42000000000000004,0.9385453716370269
D059,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.4,Camera,Wide-angle lens,81,18.0,5.8,OP004,2025-04-19,94,1.2,2.2,No,Completed,REG-2025-JKL-123,,0,0.4,1.0638759689922481
D060,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.1,Sensor,Acoustic emission sensor,107,42.0,13.2,OP002,2025-04-20,67,2.2,5.2,Yes,Completed,REG-2025-MNO-456,,0,0.6375,1.187646229739253
D061,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.5,Package,Medicine,72,19.0,5.2,OP011,2025-04-21,96,1.4,2.8,No,Completed,REG-2025-PQR-789,,0,0.75,0.9713399778516058
D062,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.7,Camera,Time-lapse camera,86,23.0,6.5,OP004,2025-04-22,91,1.3,2.5,No,Completed,REG-2025-STU-012,,0,0.7,1.0530292188431722
D063,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,17.8,Liquid Tank,Nutrient solution,31,33.0,10.2,OP003,2025-04-23,41,3.3,7.4,Yes,Completed,REG-2025-VWX-345,,0,0.89,1.4666737138830162
D064,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.6,Package,Consumer electronics,69,24.0,7.1,OP013,2025-04-24,87,1.8,3.3,No,Completed,REG-2025-XYZ-678,,0,0.52,0.9413695090439276
D065,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.2,Camera,Action camera,83,17.0,5.9,OP004,2025-04-25,99,1.0,2.0,No,Completed,REG-2025-ABC-901,,0,0.2,1.1650387596899225
D066,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.7,Camera,High-resolution still camera,105,40.0,12.8,OP002,2025-04-26,63,2.4,5.9,Yes,Completed,REG-2025-DEF-234,,0,0.5875,1.244031007751938
D067,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,18.5,Liquid Tank,Defoliant,27,36.0,11.5,OP003,2025-04-27,39,3.6,7.9,Yes,Completed,REG-2025-GHI-567,,0,0.925,1.5001808785529716
D068,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5.0,2.9,Package,Documents,71,26.0,8.2,OP013,2025-04-28,84,2.0,3.6,No,Completed,REG-2025-JKL-890,,0,0.58,0.9390697674418604
D069,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.8,Camera,Zoom lens,87,21.0,6.8,OP004,2025-04-29,92,1.5,2.6,No,Completed,REG-2025-MNO-123,,0,0.8,0.9482170542635658
D070,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.3,Sensor,Magnetic particle inspection sensor,111,43.0,13.5,OP002,2025-04-30,69,2.1,5.4,Yes,Completed,REG-2025-OPQ-456,,0,0.6625,1.2047951273532669
D071,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9.0,5.0,Camera,UV inspection camera,100,58.0,15.0,OP002,2025-04-20,52,2.8,6.8,Yes,Completed,REG-2025-VWX-789,,0,0.5555555555555556,1.3642746400885937
D072,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6.0,3.1,Camera,License plate recognition camera,80,35.0,9.0,OP005,2025-04-21,75,1.7,4.2,No,Completed,REG-2025-XYZ-012,,0,0.5166666666666667,1.1638166894664843
D073,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16.0,8.5,Camera,High-resolution video camera,155,70.0,22.0,OP002,2025-04-22,40,3.1,8.0,Yes,Completed,REG-2025-ABC-345,,0,0.53125,1.54273568392098
D075,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,0.8,Camera,360-degree video camera,90,28.0,5.0,OP004,2025-04-24,92,1.9,3.7,No,Completed,REG-2025-GHI-901,,0,0.4444444444444445,0.8931374949000408
D076,Delivery to Remote Area,Medium,LongHaul 400,DeliveryNow,6,10.0,3.5,Package,Emergency rations,65,55.0,28.0,OP011,2025-04-25,60,2.5,4.8,No,Completed,REG-2025-JKL-234,,0,0.35,1.172093023255814
D077,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14.0,6.5,Sensor,Ultrasonic leak detector,35,60.0,20.0,OP002,2025-04-26,78,2.2,6.5,Yes,Completed,REG-2025-MNO-567,,0,0.4642857142857143,1.1784214235377026
D078,Precision Agriculture,Small,FarmPilot,AgriDrones,4,2.5,1.1,Sensor,Leaf area index sensor,42,24.0,8.0,OP003,2025-04-27,87,1.3,3.9,No,Completed,REG-2025-OPQ-890,,0,0.44000000000000006,1.201556350626118
D079,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.6,Camera,Trail camera,105,50.0,16.0,OP009,2025-04-28,68,1.7,4.3,Yes,Completed,REG-2025-RST-123,,0,0.39999999999999997,1.2415686274509805
D080,Emergency Response,Large,FirstResponder,RescueFly,8,13.0,5.9,First Aid Kit,Basic medical supplies,135,45.0,10.0,OP007,2025-04-29,55,2.9,5.7,Yes,Completed,REG-2025-UVW-456,,0,0.4538461538461539,1.2366880513231757
D081,Product Photography,Small,StudioShot,PhotoFly,4,1.0,0.5,Camera,Macro lens camera,48,16.0,4.0,OP004,2025-04-30,96,0.9,2.1,No,Completed,REG-2025-XYZ-789,,0,0.5,1.3139018087855299
D083,Infrastructure Inspection,Large,Inspecta X,SkyView Inc.,6,15.0,9.1,"Camera, Sensor",Thermal and visual camera,118,48.0,14.0,OP002,2025-05-02,71,1.6,5.3,Yes,Completed,REG-2025-DEF-345,,0,0.6066666666666667,1.3258527131782945
D084,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,22.0,Liquid Tank,Water for irrigation testing,30,28.0,9.0,OP003,2025-05-03,38,3.3,7.5,Yes,Aborted,REG-2025-GHI-678,"Overweight, aborted takeoff",1,1.1,2.5044256518675123
D087,Surveying,Medium,MapMaker Z,GeoSurv,6,10.0,6.5,LiDAR System,Compact LiDAR unit,75,33.0,7.0,OP006,2025-05-06,81,1.2,3.5,No,Completed,REG-2025-OPQ-567,,0,0.65,1.2946511627906978
D088,Search and Rescue,Large,Guardian SR,RescueFly,8,12.0,5.1,Communication Device,Two-way radio repeater,140,52.0,19.0,OP007,2025-05-07,67,2.7,5.6,Yes,Completed,REG-2025-RST-890,,0,0.425,1.1344788975021531
D089,Film Production,Large,CineDrone X,FilmCraft,8,18.0,20.0,Camera,VR camera rig,58,35.0,5.0,OP008,2025-05-08,78,2.0,4.3,No,Landed Unexpectedly,REG-2025-UVW-123,Battery failure,1,1.1111111111111112,2.0533333333333332
D090,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2.0,1.1,Sensor,Ozone sensor,32,27.0,6.0,OP009,2025-05-09,90,1.4,2.6,No,Completed,REG-2025-XYZ-456,,0,0.55,1.0158361018826136
D091,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3.0,1.9,Weight Sensor,Precision weight scale,16,29.0,4.0,OP010,2025-05-10,73,0.9,1.4,No,Completed,REG-2025-ABC-789,,0,0.6333333333333333,1.4896382428940569
D092,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,1.0,Package,Small documents,60,18.0,5.0,OP011,2025-03-19,95,1.3,2.9,No,Completed,REG-2025-EFG-123,,0,0.5,1.0440369707811568
D093,Bridge Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,4.5,Camera,High-definition camera,90,38.0,12.0,OP002,2025-03-18,60,2.2,5.8,Yes,Completed,REG-2025-HIJ-456,,0,0.5625,1.3041578576462298
D094,Crop Monitoring,Small,Agri Scout,AgriDrones,4,1.5,0.8,Camera,Multispectral camera for plant health analysis,45,22.0,7.0,OP003,2025-03-17,80,1.0,3.3,No,Completed,REG-2025-KLM-789,,0,0.5333333333333333,1.455813953488372
D095,Real Estate Photography,Small,SkyLens,PhotoFly,4,1.2,0.6,Camera,Wide-angle camera for property showcasing,75,25.0,4.0,OP004,2025-03-16,88,1.6,2.5,No,Completed,REG-2025-NOP-012,,0,0.5,0.9387984496124031
D096,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9.0,5.0,"Camera, Sensor","Corona discharge camera, infrared thermometer",110,55.0,16.0,OP002,2025-03-15,50,2.9,7.1,Yes,Completed,REG-2025-QRS-345,Inspecting high-voltage power lines,0,0.5555555555555556,1.3952151831061215
D097,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6.0,2.8,Camera,Real-time video camera for traffic analysis,85,40.0,10.0,OP005,2025-03-14,72,1.9,4.5,No,Completed,REG-2025-TUV-678,Monitoring traffic flow on a major highway,0,0.4666666666666666,1.1551529987760096
D098,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16.0,9.0,Camera,High-resolution camera for blade damage assessment,160,65.0,20.0,OP002,2025-03-13,45,3.2,8.5,Yes,Completed,REG-2025-WXY-901,Inspecting wind turbine blades,0,0.5625,1.5214147286821706
D099,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11.0,7.5,"Camera, GPS","High-resolution camera, GPS for site mapping",55,30.0,8.0,OP006,2025-03-12,81,1.4,2.8,No,Completed,REG-2025-ZAB-234,Surveying progress on a construction project,0,0.6818181818181818,1.1213399778516058
D100,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,1.0,Camera,Compact camera for capturing event footage,95,32.0,6.0,OP004,2025-03-11,90,1.7,3.9,No,Completed,REG-2025-CDE-567,Recording an outdoor music festival,0,0.5555555555555556,0.9905608755129959
D101,Delivery to Remote Area,Medium,LongHaul 400,DeliveryNow,6,10.0,4.0,Package,Medical supplies,70,50.0,25.0,OP011,2025-03-10,58,2.6,5.1,No,Completed,REG-2025-FGH-890,Delivering supplies to a remote island village,0,0.4,1.1999642218246869
D102,Pipeline Inspection,Large,PipePatrol,SkyView Inc.,6,14.0,7.0,"Camera, Sensor","Infrared camera, gas leak detector",40,58.0,18.0,OP002,2025-03-09,73,2.3,6.8,Yes,Completed,REG-2025-IJK-123,Inspecting oil and gas pipelines,0,0.5,1.2319143916413886
D103,Precision Agriculture,Small,FarmPilot,AgriDrones,4,2.5,1.3,Sensor,Soil moisture and nutrient sensors,35,26.0,9.0,OP003,2025-03-08,82,1.2,3.7,No,Completed,REG-2025-LMN-456,Collecting data for precision farming,0,0.52,1.3001550387596899
D104,Wildlife Monitoring,Small,NatureWatch,EnviroTech,4,1.5,0.7,Camera,Low-light camera for observing wildlife,100,45.0,15.0,OP009,2025-03-07,65,1.9,4.1,Yes,Completed,REG-2025-OPQ-789,Monitoring animal populations in a nature reserve,0,0.4666666666666666,1.1941452468380254
D105,Emergency Response,Large,FirstResponder,RescueFly,8,13.0,6.0,"Camera, Speaker","Thermal camera, loudspeaker for communication",130,48.0,11.0,OP007,2025-03-06,52,2.7,5.9,Yes,Completed,REG-2025-RST-012,Assessing damage after a natural disaster,0,0.46153846153846156,1.3077347114556417
D106,Product Photography,Small,StudioShot,PhotoFly,4,1.0,0.4,Camera,High-resolution camera for product showcasing,50,15.0,3.0,OP004,2025-03-05,98,0.8,1.9,No,Completed,REG-2025-UVW-345,Taking aerial product shots for advertising,0,0.4,1.4172868217054264
D107,Package Delivery,Small,SwiftWing,DeliveryNow,4,2.0,0.9,Package,Books,75,15.0,4.0,OP012,2025-04-01,91,1.6,2.8,No,Completed,REG-2025-IJK-789,,0,0.45,0.9320542635658915
D108,Infrastructure Inspection,Medium,ViewMax 500,Inspecta X,4,8.0,5.2,Camera,Zoom lens camera,105,40.0,13.0,OP002,2025-04-02,63,2.0,5.1,Yes,Completed,REG-2025-LMN-012,,0,0.65,1.2653488372093022
D109,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20.0,16.0,Liquid Tank,Organic fertilizer,35,32.0,11.0,OP003,2025-04-03,48,3.0,7.0,No,Completed,REG-2025-OPQ-345,,0,0.8,1.395968992248062
D110,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1.0,0.3,Camera,Infrared camera,90,18.0,6.0,OP004,2025-04-04,95,1.0,1.9,No,Completed,REG-2025-RST-678,,0,0.3,1.1972868217054264
D111,Surveillance,Medium,Watcher Pro,SecureTech,4,7.0,4.1,Sensor,Noise detection sensor,110,55.0,10.0,OP005,2025-04-05,58,2.3,4.5,No,Completed,REG-2025-UVW-901,,0,0.5857142857142856,1.2036198179979778
D112,Surveying,Medium,MapMaker Z,GeoSurv,6,10.0,7.3,GPS,High-precision GPS module,60,38.0,8.0,OP006,2025-04-06,79,1.4,3.2,No,Completed,REG-2025-XYZ-234,,0,0.73,1.1723477297895903
D113,Search and Rescue,Large,Guardian SR,RescueFly,8,12.0,4.8,Speaker,Megaphone,145,48.0,17.0,OP007,2025-04-07,65,2.6,5.3,Yes,Completed,REG-2025-ABC-567,,0,0.39999999999999997,1.145468097793679
D114,Film Production,Large,CineDrone X,FilmCraft,8,18.0,11.5,Camera,Stabilized camera rig,55,42.0,9.0,OP008,2025-04-08,72,1.9,4.0,No,Completed,REG-2025-DEF-890,,0,0.6388888888888888,1.1163933088535292
